Keyword,Listing Id,Image ID,Color MSKU?,Size MSKU?,Other Info,Quality,
dresses,1.82998E+11,https://i.ebayimg.com/images/g/yKYAAOSw0ehZ~Sdi/s-l1600.jpg,No,Yes,,No,
dresses,1.82998E+11,https://i.ebayimg.com/images/g/EY0AAOSwqbxZ~Sdn/s-l1600.jpg,No,Yes,,No,
dresses,1.82998E+11,https://i.ebayimg.com/images/g/DBUAAOSwUM5Z~Sdo/s-l1600.jpg,No,Yes,,No,
dresses,1.82998E+11,https://i.ebayimg.com/images/g/Fe4AAOSwbwJZ~Sds/s-l1600.jpg,No,Yes,,No,
dresses,1.82998E+11,https://i.ebayimg.com/images/g/Wb4AAOSwXxhZ~Sdu/s-l1600.jpg,No,Yes,,No,
dresses,1.82998E+11,https://i.ebayimg.com/images/g/wDoAAOSwjyhaTJmd/s-l500.jpg,No,Yes,,No,
dresses,1.82998E+11,https://i.ebayimg.com/images/g/kgYAAOSw9idZ~Sdq/s-l1600.jpg,No,Yes,,No,
dresses,3.22978E+11,https://i.ebayimg.com/images/g/s-UAAOSwYIxX4VnZ/s-l1600.jpg,Yes,Yes,,Yes,
dresses,3.22978E+11,https://i.ebayimg.com/images/g/FWUAAOSwmfhX4Vnp/s-l500.jpg,Yes,Yes,Size Chart,No,
dresses,3.22978E+11,https://i.ebayimg.com/images/g/WwUAAOSwPCVX4Vns/s-l1600.jpg,Yes,Yes,,Yes,
dresses,3.22978E+11,https://i.ebayimg.com/images/g/Zg4AAOSwLF1X4Vny/s-l1600.jpg,Yes,Yes,,Yes,
dresses,3.22978E+11,https://i.ebayimg.com/images/g/p-AAAOSw5cNYLnto/s-l500.jpg,Yes,Yes,,No,
dresses,3.22978E+11,https://i.ebayimg.com/images/g/p-AAAOSw5cNYLnto/s-l500.jpg,Yes,Yes,,No,
dresses,3.22978E+11,https://i.ebayimg.com/images/g/7nkAAOSwo4pYLnts/s-l1600.jpg,Yes,Yes,,No,
dresses,3.22978E+11,https://i.ebayimg.com/images/g/I8AAAOSwiDFYLntw/s-l1600.jpg,Yes,Yes,,No,
dresses,3.82174E+11,https://i.ebayimg.com/images/g/v-0AAOSwR2RaKbxL/s-l1600.jpg,Yes,Yes,,No,
dresses,3.82174E+11,https://i.ebayimg.com/images/g/4QgAAOSw8vdZdENb/s-l1600.png,Yes,Yes,,No,
dresses,3.82174E+11,https://i.ebayimg.com/images/g/qzgAAOSwReBZdENp/s-l1600.png,Yes,Yes,,Yes,
dresses,3.82174E+11,https://i.ebayimg.com/images/g/aCMAAOSwZVZZzCOs/s-l1600.jpg,Yes,Yes,,No,
dresses,3.82174E+11,https://i.ebayimg.com/images/g/4osAAOSwl9dZzCPr/s-l500.jpg,Yes,Yes,,No,
dresses,1.8287E+11,https://i.ebayimg.com/images/g/DdUAAOSwjxFafpFE/s-l500.jpg,Yes,Yes,,No,
dresses,1.8287E+11,https://i.ebayimg.com/images/g/lMIAAOSwVA5Z-ZQ8/s-l500.jpg,Yes,Yes,,No,
dresses,1.8287E+11,https://i.ebayimg.com/images/g/55UAAOSwFSxZ-Y8H/s-l500.jpg,Yes,Yes,,No,
dresses,1.8287E+11,https://i.ebayimg.com/images/g/vNQAAOSwHYpZ-Y8H/s-l1600.jpg,Yes,Yes,,Yes,
dresses,1.8287E+11,https://i.ebayimg.com/images/g/szcAAOSwbF1Z-Y8H/s-l1600.jpg,Yes,Yes,,Yes,
dresses,1.8287E+11,https://i.ebayimg.com/images/g/o1sAAOSwZlZZ-Y8H/s-l1600.jpg,Yes,Yes,,Yes,
dresses,1.8287E+11,https://i.ebayimg.com/images/g/IncAAOSwquVaC9x3/s-l1600.jpg,Yes,Yes,,No,
dresses,1.8287E+11,https://i.ebayimg.com/images/g/o1sAAOSwZlZZ-Y8H/s-l1600.jpg,Yes,Yes,,Yes,
dresses,1.42664E+11,https://i.ebayimg.com/images/g/~P4AAOSwiBJaRe9l/s-l1600.jpg,No,Yes,,No,
dresses,1.42664E+11,https://i.ebayimg.com/images/g/2BwAAOSwYwJaRe9s/s-l1600.jpg,No,Yes,,No,
dresses,1.42664E+11,https://i.ebayimg.com/images/g/KigAAOSwyXNaRe92/s-l1600.jpg,No,Yes,,No,
dresses,1.42664E+11,https://i.ebayimg.com/images/g/MpUAAOSwhpZaRe97/s-l500.jpg,No,Yes,,No,
dresses,1.42664E+11,https://i.ebayimg.com/images/g/RaQAAOSwevlaRe-F/s-l500.jpg,No,Yes,,No,
dresses,1.42664E+11,https://i.ebayimg.com/images/g/eb4AAOSw5VtaRe-T/s-l1600.jpg,No,Yes,,Yes,
dresses,1.42664E+11,https://i.ebayimg.com/images/g/bU0AAOSwI8laRe-X/s-l1600.jpg,No,Yes,,No,
dresses,1.42664E+11,https://i.ebayimg.com/images/g/kskAAOSwNMVaZURY/s-l500.png,No,Yes,,No,size
